Restaurant Name,Rating_x,Price for Two_x,Rating_y,Price for Two_y
5ive The Skybar By Radisson,4.2,"North Indian, Chinese, Biryani, Tex-Mex, Spanish, Mexican, Pizza, Desserts

₹3,000 for two",4.2,"North Indian, Chinese, Biryani, Tex-Mex, Spanish, Mexican, Pizza, Desserts

₹3,000 for two"
Casa De Silver,4.5,"North Indian, Mughlai, Mexican, American, Chinese, South Indian, Seafood, Beverages

₹1,400 for two",4.5,"North Indian, Mughlai, Mexican, American, Chinese, South Indian, Seafood, Beverages

₹1,400 for two"
The Chinese Wok,4.0,"Chinese, Asian, Oriental, Seafood, Sichuan

₹300 for two",4.0,"Chinese, Asian, Oriental, Seafood, Sichuan

₹300 for two"
Crafted By Hilton Garden Inn,4.0,"Bar Food, Continental, Italian, Modern Indian, Asian

₹3,600 for two",4.0,"Bar Food, Continental, Italian, Modern Indian, Asian

₹3,600 for two"
Bird Valley,4.2,"North Indian, Chinese, Continental, Mughlai, Kebab, Biryani, Desserts, Beverages

₹1,800 for two",4.2,"North Indian, Chinese, Continental, Mughlai, Kebab, Biryani, Desserts, Beverages

₹1,800 for two"
Hi On Chai,4.0,"Cafe, Coffee, Pizza, Burger, Pasta, Fast Food, Desserts, Beverages

₹400 for two",4.0,"Cafe, Coffee, Pizza, Burger, Pasta, Fast Food, Desserts, Beverages

₹400 for two"
Darshan,4.5,"Continental, North Indian, Chinese, Mexican, Fast Food, Desserts, Juices, Beverages

₹950 for two",4.5,"Continental, North Indian, Chinese, Mexican, Fast Food, Desserts, Juices, Beverages

₹950 for two"
Goodluck Lunch Home,-,"Maharashtrian, North Indian, Chinese, Mughlai, Biryani, Beverages

₹600 for two",-,"Maharashtrian, North Indian, Chinese, Mughlai, Biryani, Beverages

₹600 for two"
Urbo,4.2,"North Indian, Mughlai, Asian, Pizza, Italian, Chinese, Biryani, Desserts

₹2,000 for two",4.2,"North Indian, Mughlai, Asian, Pizza, Italian, Chinese, Biryani, Desserts

₹2,000 for two"
24/7 Gallery Café - Hyatt Place,3.7,"Asian, Chinese, Italian, North Indian, Oriental, Healthy Food, Desserts, Beverages

₹2,500 for two",3.7,"Asian, Chinese, Italian, North Indian, Oriental, Healthy Food, Desserts, Beverages

₹2,500 for two"
Atithi Veg,3.3,"North Indian, Chinese, Continental, South Indian, Fast Food, Biryani, Desserts, Beverages

₹1,000 for two",3.3,"North Indian, Chinese, Continental, South Indian, Fast Food, Biryani, Desserts, Beverages

₹1,000 for two"
Charcoal The Sizzling Sensation,4.4,"North Indian, Mughlai, BBQ, Italian, Biryani, Kebab, Salad

₹1,200 for two",4.4,"North Indian, Mughlai, BBQ, Italian, Biryani, Kebab, Salad

₹1,200 for two"
Amora Skyline Lounge & Kitchen,3.7,"North Indian, Chinese, Bar Food, Oriental

₹1,000 for two",3.7,"North Indian, Chinese, Bar Food, Oriental

₹1,000 for two"
Indian Thali House,4.1,"North Indian, Chinese, Beverages, Sichuan

₹500 for two",4.1,"North Indian, Chinese, Beverages, Sichuan

₹500 for two"
Bombay Culture The Cafe,4.2,"Continental, Chinese, Burger, Pizza, Fast Food, Street Food, Beverages

₹450 for two",4.2,"Continental, Chinese, Burger, Pizza, Fast Food, Street Food, Beverages

₹450 for two"
Karolbaug The Dhaba,3.8,"Chinese, North Indian, Kebab, Mughlai, Seafood, Ice Cream, Desserts, Beverages

₹850 for two",3.8,"Chinese, North Indian, Kebab, Mughlai, Seafood, Ice Cream, Desserts, Beverages

₹850 for two"
Grove Pizzeria,4.7,"Pizza

₹400 for two",4.7,"Pizza

₹400 for two"
Bahiram Thali,4.2,"Maharashtrian, Seafood, Saoji

₹550 for two",4.2,"Maharashtrian, Seafood, Saoji

₹550 for two"
Aroma's Hyderabad House,4.2,"Biryani, Kebab, North Indian, Mughlai, Seafood, Chinese, Beverages

₹1,300 for two",4.2,"Biryani, Kebab, North Indian, Mughlai, Seafood, Chinese, Beverages

₹1,300 for two"
Manbhavan Premium Thali Restaurant,3.9,"North Indian

₹500 for two",3.9,"North Indian

₹500 for two"
Daily Dosa,3.9,"South Indian, Fast Food

₹250 for two",3.9,"South Indian, Fast Food

₹250 for two"
Café Zero Point,3.6,"Fast Food, North Indian, Continental, Chinese, Italian, Sandwich, Burger, Beverages

₹1,000 for two",3.6,"Fast Food, North Indian, Continental, Chinese, Italian, Sandwich, Burger, Beverages

₹1,000 for two"
Cream Stone Ice Cream,4.2,"Ice Cream, Desserts, Beverages, Shake

₹400 for two",4.2,"Ice Cream, Desserts, Beverages, Shake

₹400 for two"
Savour By Dadus,4.1,"North Indian, Continental, Chinese, Beverages, Desserts, Fast Food, Salad, Kebab

₹1,000 for two",4.1,"North Indian, Continental, Chinese, Beverages, Desserts, Fast Food, Salad, Kebab

₹1,000 for two"
Mezza 9,4.0,"North Indian, Biryani, Asian, Continental, Mexican, Oriental, Seafood, Desserts

₹2,000 for two",4.0,"North Indian, Biryani, Asian, Continental, Mexican, Oriental, Seafood, Desserts

₹2,000 for two"
Hippie @ Heart,4.3,"Finger Food, Italian, Continental, Fast Food, BBQ, Desserts, Beverages

₹1,600 for two",4.3,"Finger Food, Italian, Continental, Fast Food, BBQ, Desserts, Beverages

₹1,600 for two"
Barbeque Ville,4.3,"North Indian, Desserts

₹1,600 for two",4.3,"North Indian, Desserts

₹1,600 for two"
Grand Royal Imperio,3.8,"North Indian, Fast Food, Chinese

₹1,200 for two",3.8,"North Indian, Fast Food, Chinese

₹1,200 for two"
Shivlingam- The Sunny's World,4.2,"North Indian, Continental, Italian, Chinese, Salad, Fast Food, Ice Cream

₹1,800 for two",4.2,"North Indian, Continental, Italian, Chinese, Salad, Fast Food, Ice Cream

₹1,800 for two"
Sahara Resto & Bar,3.9,"Kebab, Chinese, Seafood, North Indian, Mughlai, Fast Food, Biryani, Desserts

₹1,800 for two",3.9,"Kebab, Chinese, Seafood, North Indian, Mughlai, Fast Food, Biryani, Desserts

₹1,800 for two"
Citron,-,"Cafe, Oriental, Continental, North Indian, Pizza, Fast Food, Desserts, Beverages

₹1,000 for two",-,"Cafe, Oriental, Continental, North Indian, Pizza, Fast Food, Desserts, Beverages

₹1,000 for two"
Gung The Palace,4.2,"Korean

₹3,500 for two",4.2,"Korean

₹3,500 for two"
Yummy In Tummy,3.8,"North Indian, Nepalese, Momos, Fast Food, Beverages

₹200 for two",3.8,"North Indian, Nepalese, Momos, Fast Food, Beverages

₹200 for two"
Bharat Bhavan,4.3,"North Indian, Mughlai, Awadhi, Goan, Lucknowi, Kashmiri, Beverages, Desserts

₹2,000 for two",4.3,"North Indian, Mughlai, Awadhi, Goan, Lucknowi, Kashmiri, Beverages, Desserts

₹2,000 for two"
Trojan Horse Bar And Kitchen,-,"North Indian, Mughlai, Seafood, Biryani, Chinese, Kebab, Fast Food

₹1,000 for two",-,"North Indian, Mughlai, Seafood, Biryani, Chinese, Kebab, Fast Food

₹1,000 for two"
Poetry by Love and Cheesecake,3.9,"Bakery, Desserts, Cafe, Continental, Sandwich, Beverages, Finger Food, Coffee

₹1,800 for two",3.9,"Bakery, Desserts, Cafe, Continental, Sandwich, Beverages, Finger Food, Coffee

₹1,800 for two"
We Idliwale Barroom,4.4,"South Indian, Biryani, Desserts

₹1,500 for two",4.4,"South Indian, Biryani, Desserts

₹1,500 for two"
KGN Xprs,4.0,"Biryani, Chinese, North Indian

₹400 for two",4.0,"Biryani, Chinese, North Indian

₹400 for two"
Bombay Bistro,4.3,"Bar Food, Pizza, Asian, North Indian, Oriental, Continental, Chinese, Cafe

₹2,200 for two",4.3,"Bar Food, Pizza, Asian, North Indian, Oriental, Continental, Chinese, Cafe

₹2,200 for two"
Singh Saab The Paratha House,4.0,"North Indian, Chinese, Street Food, Beverages

₹500 for two",4.0,"North Indian, Chinese, Street Food, Beverages

₹500 for two"
Feast India Company,4.5,"Chinese, Oriental, North Indian, Seafood, Kebab, Desserts, Beverages

₹1,400 for two",4.5,"Chinese, Oriental, North Indian, Seafood, Kebab, Desserts, Beverages

₹1,400 for two"
Si Nonna’s - The Original Sourdough Pizza,4.5,"Cafe, Italian, Pizza, Desserts

₹1,300 for two",4.5,"Cafe, Italian, Pizza, Desserts

₹1,300 for two"
Angaar,4.3,"North Indian, Mughlai, Chinese, Seafood, Biryani, Beverages

₹1,400 for two",4.3,"North Indian, Mughlai, Chinese, Seafood, Biryani, Beverages

₹1,400 for two"
Huber & Holly,4.3,"Desserts, Ice Cream, Shake, Coffee, Pasta, Sandwich, Pizza, Cake

₹800 for two",4.3,"Desserts, Ice Cream, Shake, Coffee, Pasta, Sandwich, Pizza, Cake

₹800 for two"
La Belle Resto Bar,New,"Maharashtrian, North Indian, Mughlai, Asian, Biryani, Pizza, Continental, Chinese

₹1,200 for two",New,"Maharashtrian, North Indian, Mughlai, Asian, Biryani, Pizza, Continental, Chinese

₹1,200 for two"
The Regent Veg Restaurant,3.8,"North Indian, Chinese, Street Food, Fast Food, Biryani, Desserts, Beverages

₹1,200 for two",3.8,"North Indian, Chinese, Street Food, Fast Food, Biryani, Desserts, Beverages

₹1,200 for two"
The Burgs,3.9,"Burger, Fast Food

₹400 for two",3.9,"Burger, Fast Food

₹400 for two"
Hotel Kanji Family Restaurant And Bar,3.7,"North Indian, Chinese, Fast Food

₹1,000 for two",3.7,"North Indian, Chinese, Fast Food

₹1,000 for two"
California Burrito,New,"Mexican, Healthy Food, Salad, Fast Food, Beverages

₹300 for two",New,"Mexican, Healthy Food, Salad, Fast Food, Beverages

₹300 for two"
Karolbaug The Theka,4.3,"North Indian, Seafood, Continental, Italian, Mughlai, Bar Food, Biryani, Desserts

₹1,300 for two",4.3,"North Indian, Seafood, Continental, Italian, Mughlai, Bar Food, Biryani, Desserts

₹1,300 for two"
Panch-Sattva,4.4,"South Indian, Beverages, Desserts

₹1,200 for two",4.4,"South Indian, Beverages, Desserts

₹1,200 for two"
Cocktail Club,4.0,"North Indian, Italian, Salad

₹1,700 for two",4.0,"North Indian, Italian, Salad

₹1,700 for two"
Spice It - ibis Pune Hinjewadi,4.0,"North Indian, Chinese, Healthy Food, Continental, Fast Food, Bar Food, Beverages

₹2,250 for two",4.0,"North Indian, Chinese, Healthy Food, Continental, Fast Food, Bar Food, Beverages

₹2,250 for two"
Upsouth,3.8,"South Indian, Sandwich, Fast Food, Beverages

₹300 for two",3.8,"South Indian, Sandwich, Fast Food, Beverages

₹300 for two"
Pie and Pea Cafe & Bakery,3.9,"Cafe, Coffee, Bakery, Pizza, Sandwich, Fast Food, Biryani, Desserts

₹900 for two",3.9,"Cafe, Coffee, Bakery, Pizza, Sandwich, Fast Food, Biryani, Desserts

₹900 for two"
House Of Churros,New,"Spanish, Bakery, Coffee

₹500 for two",New,"Spanish, Bakery, Coffee

₹500 for two"
Mocha & Mingle cafe,New,"Coffee, Cafe, Beverages, Shake

₹300 for two",New,"Coffee, Cafe, Beverages, Shake

₹300 for two"
Aroma Rich Cafe,New,"Cafe, Coffee, Bakery, Fast Food, Pizza, Salad, Tea, Beverages

₹800 for two",New,"Cafe, Coffee, Bakery, Fast Food, Pizza, Salad, Tea, Beverages

₹800 for two"
Coffee To Cocktails Bar - Hyatt Place,4.0,"North Indian, Fast Food, Healthy Food, Oriental

₹3,000 for two",4.0,"North Indian, Fast Food, Healthy Food, Oriental

₹3,000 for two"
Hotel Rassa Kitchen And Bar,4.2,"Maharashtrian, North Indian, Mughlai, Seafood, Chinese, Kebab, Biryani, Desserts

₹1,000 for two",4.2,"Maharashtrian, North Indian, Mughlai, Seafood, Chinese, Kebab, Biryani, Desserts

₹1,000 for two"
Sanket Inn Family Resto & Bar,4.1,"Maharashtrian, North Indian, Kebab, Mughlai, Biryani, Chinese, Ice Cream, Beverages

₹1,300 for two",4.1,"Maharashtrian, North Indian, Kebab, Mughlai, Biryani, Chinese, Ice Cream, Beverages

₹1,300 for two"
Cafe Skywalkers,3.9,"Fast Food, Wraps, Burger, Pizza, Pasta, Street Food, Beverages

₹600 for two",3.9,"Fast Food, Wraps, Burger, Pizza, Pasta, Street Food, Beverages

₹600 for two"
Asia Seven – Sizzling Chinese,3.9,"Chinese

₹200 for two",3.9,"Chinese

₹200 for two"
Madrasi Raja,4.1,"South Indian, Street Food, Beverages

₹200 for two",4.1,"South Indian, Street Food, Beverages

₹200 for two"
"Frozen Bottle - Milkshakes, Desserts And Ice Cream",3.2,"Shake, Beverages, Desserts, Ice Cream, Waffle, Healthy Food, Coffee

₹300 for two",3.2,"Shake, Beverages, Desserts, Ice Cream, Waffle, Healthy Food, Coffee

₹300 for two"
Best Belgian Waffle,3.6,"Waffle, Desserts, Beverages

₹350 for two",3.6,"Waffle, Desserts, Beverages

₹350 for two"
Cafe Durga,3.8,"North Indian, South Indian, Chinese, Pizza, Sandwich, Fast Food, Street Food, Beverages

₹300 for two",3.8,"North Indian, South Indian, Chinese, Pizza, Sandwich, Fast Food, Street Food, Beverages

₹300 for two"
Arnav Pure Veg,3.7,"North Indian, Chinese

₹400 for two",3.7,"North Indian, Chinese

₹400 for two"
Regal Cakes And Bakers,3.6,"Bakery, Desserts

₹350 for two",3.6,"Bakery, Desserts

₹350 for two"
Chopsticks,3.7,"Chinese

₹1,000 for two",3.7,"Chinese

₹1,000 for two"
Ambrosios,4.2,"North Indian

₹350 for two",4.2,"North Indian

₹350 for two"
Cafe Close 2 Sky,3.4,"Sandwich, Pizza, Fast Food, Burger, Pasta, Street Food, Beverages

₹400 for two",3.4,"Sandwich, Pizza, Fast Food, Burger, Pasta, Street Food, Beverages

₹400 for two"
Baithack - Taste Of Kulhad,3.9,"Tea, Coffee, Pizza, Sandwich, Fast Food, Street Food, Shake, Beverages

₹300 for two",3.9,"Tea, Coffee, Pizza, Sandwich, Fast Food, Street Food, Shake, Beverages

₹300 for two"
Chalu Aapna Desi Chinese,3.9,"Maharashtrian, Chinese, Momos, Beverages

₹550 for two",3.9,"Maharashtrian, Chinese, Momos, Beverages

₹550 for two"
The Urban Belly,3.6,"Sandwich, Pizza, Fast Food, Street Food, Coffee, Beverages

₹250 for two",3.6,"Sandwich, Pizza, Fast Food, Street Food, Coffee, Beverages

₹250 for two"
Dinero Fine Dine,3.9,"Modern Indian

₹2,000 for two",3.9,"Modern Indian

₹2,000 for two"
Kiosk Kaffee,3.3,"Healthy Food, Continental, Italian, Finger Food, Sandwich, Beverages, Cafe, Coffee

₹300 for two",3.3,"Healthy Food, Continental, Italian, Finger Food, Sandwich, Beverages, Cafe, Coffee

₹300 for two"
Delhi Chaap Express,3.9,"North Indian, Momos, Rolls

₹300 for two",3.9,"North Indian, Momos, Rolls

₹300 for two"
Street Foods By Punjab Grill,3.7,"North Indian

₹800 for two",3.7,"North Indian

₹800 for two"
Wasabi 15,3.1,"Asian, Japanese, Korean, Chinese, Desserts, Beverages

₹1,500 for two",3.1,"Asian, Japanese, Korean, Chinese, Desserts, Beverages

₹1,500 for two"
Hotel Sanket Inn,3.6,"North Indian, Chinese, Seafood, Mughlai, Biryani, Beverages

₹950 for two",3.6,"North Indian, Chinese, Seafood, Mughlai, Biryani, Beverages

₹950 for two"
Desi Eats,3.9,"North Indian, Street Food

₹400 for two",3.9,"North Indian, Street Food

₹400 for two"
Cafe Love Lock,3.6,"Fast Food, Sandwich, Burger, Coffee

₹350 for two",3.6,"Fast Food, Sandwich, Burger, Coffee

₹350 for two"
The Incognito Nitery,3.4,"Chinese, Sandwich, Pasta, Fast Food, Street Food, Beverages

₹250 for two",3.4,"Chinese, Sandwich, Pasta, Fast Food, Street Food, Beverages

₹250 for two"
Ajinkya Executive,3.7,"Chettinad, Biryani, Kebab, Chinese, Mangalorean, Mughlai, Seafood, Beverages

₹850 for two",3.7,"Chettinad, Biryani, Kebab, Chinese, Mangalorean, Mughlai, Seafood, Beverages

₹850 for two"
Portico - Sayaji Hotel,4.4,"North Indian, Asian, Fast Food, Salad, South Indian, Bar Food, Beverages

₹1,600 for two",4.4,"North Indian, Asian, Fast Food, Salad, South Indian, Bar Food, Beverages

₹1,600 for two"
Coconut Chutneey - The South Canteen,3.8,"South Indian

₹200 for two",3.8,"South Indian

₹200 for two"
Sahyadri Veg And Non Veg,3.3,"Maharashtrian, North Indian, Mughlai, Biryani, Kebab, Chinese

₹1,000 for two",3.3,"Maharashtrian, North Indian, Mughlai, Biryani, Kebab, Chinese

₹1,000 for two"
Bambir House,2.8,"Biryani, Mughlai, Malwani

₹1,200 for two",2.8,"Biryani, Mughlai, Malwani

₹1,200 for two"
Malgudi,3.8,"South Indian, Beverages

₹450 for two",3.8,"South Indian, Beverages

₹450 for two"
Fried Chicken Destination,2.3,"Burger, Wraps, Fast Food

₹400 for two",2.3,"Burger, Wraps, Fast Food

₹400 for two"
Hotel Shivprasad Veg - Nonveg,4.1,"North Indian, Chinese

₹350 for two",4.1,"North Indian, Chinese

₹350 for two"
AB's - Absolute Barbecues,4.7,"North Indian, BBQ, Biryani

₹1,650 for two",4.7,"North Indian, BBQ, Biryani

₹1,650 for two"
Hotel Sandeep,2.8,"Maharashtrian, North Indian, Chinese, Mughlai

₹1,400 for two",2.8,"Maharashtrian, North Indian, Chinese, Mughlai

₹1,400 for two"
Maratha Samrat,4.3,"Maharashtrian, Seafood, Biryani, Desserts

₹1,300 for two",4.3,"Maharashtrian, Seafood, Biryani, Desserts

₹1,300 for two"
Si Nonna's - The Original Sourdough Pizza,4.4,"Pizza, Italian, Desserts, Coffee, Beverages

₹1,000 for two",4.4,"Pizza, Italian, Desserts, Coffee, Beverages

₹1,000 for two"
The Magic Bottle,New,"Sandwich, Burger, Pasta, Momos, Fast Food, Ice Cream, Coffee, Beverages

₹250 for two",New,"Sandwich, Burger, Pasta, Momos, Fast Food, Ice Cream, Coffee, Beverages

₹250 for two"
OarameHa's Cake Shop,-,"Bakery

₹450 for two",-,"Bakery

₹450 for two"
DSK Cafe & Snack Center,-,"North Indian, Cafe, South Indian

₹100 for two",-,"North Indian, Cafe, South Indian

₹100 for two"
Lord Petrick Burger & Coffee,4.2,"Burger, Wraps, Fast Food, Desserts, Beverages, Cafe, Coffee

₹550 for two",4.2,"Burger, Wraps, Fast Food, Desserts, Beverages, Cafe, Coffee

₹550 for two"
Fiesta By Barbeque Nation,3.8,"North Indian, Salad, Continental, Oriental

₹1,500 for two",3.8,"North Indian, Salad, Continental, Oriental

₹1,500 for two"
Barbeque Nation,4.3,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts

₹2,100 for two",4.3,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts

₹2,100 for two"
Bird Valley EXPRESS PURE VEG,3.9,"North Indian, South Indian, Kebab, Chinese, Biryani, Street Food, Desserts, Beverages

₹500 for two",3.9,"North Indian, South Indian, Kebab, Chinese, Biryani, Street Food, Desserts, Beverages

₹500 for two"
Yana Sizzlers And Wok,3.1,"Chinese, Asian, Jamaican, BBQ, Seafood, Salad, Desserts, Beverages

₹1,800 for two",3.1,"Chinese, Asian, Jamaican, BBQ, Seafood, Salad, Desserts, Beverages

₹1,800 for two"
Khandeshi Tadka,3.6,"Maharashtrian, Mughlai, Biryani

₹650 for two",3.6,"Maharashtrian, Mughlai, Biryani

₹650 for two"
Opera House,-,"Pizza, Fast Food, Shake, Coffee, Beverages

₹200 for two",-,"Pizza, Fast Food, Shake, Coffee, Beverages

₹200 for two"
The Lassi Corner,-,"Beverages, Fast Food, Street Food, Ice Cream, Shake, Wraps, Burger

₹300 for two",-,"Beverages, Fast Food, Street Food, Ice Cream, Shake, Wraps, Burger

₹300 for two"
Smoothie House,New,"Cafe, Coffee, Beverages, Healthy Food, Shake, Juices

₹400 for two",New,"Cafe, Coffee, Beverages, Healthy Food, Shake, Juices

₹400 for two"
Apache High Street,4.3,"Finger Food, Continental, Salad

₹1,300 for two",4.3,"Finger Food, Continental, Salad

₹1,300 for two"
Wagh Bakri Tea Lounge,3.8,"Tea, Coffee, Bubble Tea, Sandwich, Street Food, Desserts

₹400 for two",3.8,"Tea, Coffee, Bubble Tea, Sandwich, Street Food, Desserts

₹400 for two"
Blue Tokai Coffee Roasters,4.3,"Cafe, Coffee, Beverages

₹600 for two",4.3,"Cafe, Coffee, Beverages

₹600 for two"
G Sardar G Da Dhaba,-,"North Indian, Biryani, Kebab, Chinese, Mughlai, Street Food, Beverages

₹1,000 for two",-,"North Indian, Biryani, Kebab, Chinese, Mughlai, Street Food, Beverages

₹1,000 for two"
Sandwich Junction,-,"Pizza, Fast Food, Sandwich, Shake, Beverages

₹400 for two",-,"Pizza, Fast Food, Sandwich, Shake, Beverages

₹400 for two"
Sandwich Junction,-,"Pizza, Fast Food, Sandwich, Shake, Beverages

₹400 for two",-,"Sandwich, Beverages

₹300 for two"
Tap & Bear,-,"Continental, Finger Food, Bar Food, North Indian, Alcoholic Beverages

₹1,100 for two",-,"Continental, Finger Food, Bar Food, North Indian, Alcoholic Beverages

₹1,100 for two"
Crown Pizza,-,"Pizza, Burger, Pasta, Fast Food

₹350 for two",-,"Pizza, Burger, Pasta, Fast Food

₹350 for two"
Cake Choice Multi Baker's & Confectioner's,-,"Bakery

₹400 for two",-,"Bakery

₹400 for two"
Cake Way,-,"Bakery

₹300 for two",-,"Bakery

₹300 for two"
Sheetal Pure Veg,3.3,"Maharashtrian, North Indian, Chinese, Continental, Salad, Pizza, Mexican, Beverages

₹950 for two",3.3,"Maharashtrian, North Indian, Chinese, Continental, Salad, Pizza, Mexican, Beverages

₹950 for two"
Pine & Dine Restro,-,"North Indian, Chinese, Seafood, Biryani, Kebab

₹1,000 for two",-,"North Indian, Chinese, Seafood, Biryani, Kebab

₹1,000 for two"
Inventree Hotel,-,"North Indian, Chinese, Mughlai, Biryani, Continental, Seafood, Desserts, Beverages

₹1,300 for two",-,"North Indian, Chinese, Mughlai, Biryani, Continental, Seafood, Desserts, Beverages

₹1,300 for two"
Spring Onion,4.3,"Chinese, Asian, Japanese, Seafood, Cantonese, Fast Food, Beverages

₹1,000 for two",4.3,"Chinese, Asian, Japanese, Seafood, Cantonese, Fast Food, Beverages

₹1,000 for two"
Bailamos Alfresco & Dance,4.3,"Italian, Bar Food, North Indian, Chinese, Japanese, Biryani, Fast Food, Desserts

₹2,000 for two",4.3,"Italian, Bar Food, North Indian, Chinese, Japanese, Biryani, Fast Food, Desserts

₹2,000 for two"
De Dana Dan,-,for two,-,for two
Shivneri Vada Pav - Misal House,-,"Maharashtrian, South Indian, Beverages

₹200 for two",-,"Maharashtrian, South Indian, Beverages

₹200 for two"
Nisarga Garden Resto Bar,-,"North Indian, Mughlai, Chinese, Desserts, Beverages

₹1,500 for two",-,"North Indian, Mughlai, Chinese, Desserts, Beverages

₹1,500 for two"
Cafe Caspian,-,"North Indian, Biryani, Beverages

₹300 for two",-,"North Indian, Biryani, Beverages

₹300 for two"
Just Grill,-,"North Indian, Mughlai, Arabian, Biryani, Fast Food, Beverages

₹600 for two",-,"North Indian, Mughlai, Arabian, Biryani, Fast Food, Beverages

₹600 for two"
Sandwich Junction,-,"Sandwich, Beverages

₹300 for two",-,"Pizza, Fast Food, Sandwich, Shake, Beverages

₹400 for two"
Sandwich Junction,-,"Sandwich, Beverages

₹300 for two",-,"Sandwich, Beverages

₹300 for two"
Hotel Gav Curry,-,"Chinese, Sichuan

₹250 for two",-,"Chinese, Sichuan

₹250 for two"
The Deck,-,"North Indian, Mughlai, Kebab, Asian, Seafood, Continental, Italian, Desserts

₹1,400 for two",-,"North Indian, Mughlai, Kebab, Asian, Seafood, Continental, Italian, Desserts

₹1,400 for two"
Street Coffee,-,"Cafe, Coffee, Desserts, Beverages

₹300 for two",-,"Cafe, Coffee, Desserts, Beverages

₹300 for two"
Charred,-,"Continental, Chinese, Salad

₹1,000 for two",-,"Continental, Chinese, Salad

₹1,000 for two"
It's Street Coffee,-,"Coffee, Shake, Desserts, Beverages

₹350 for two",-,"Coffee, Shake, Desserts, Beverages

₹350 for two"
Dezzerto,New,"Desserts, Ice Cream, Shake

₹200 for two",New,"Desserts, Ice Cream, Shake

₹200 for two"
Hotel Chul Mutton,2.9,"Maharashtrian, Mughlai, North Indian, Biryani

₹950 for two",2.9,"Maharashtrian, Mughlai, North Indian, Biryani

₹950 for two"
The Burger Company,3.4,"Burger, Pizza, Fast Food

₹300 for two",3.4,"Burger, Pizza, Fast Food

₹300 for two"
Pakwan Food Tradition,4.2,"North Indian, Rajasthani, Chinese, Sichuan

₹1,300 for two",4.2,"North Indian, Rajasthani, Chinese, Sichuan

₹1,300 for two"
Why So Cheesy?,-,"Pizza, Sandwich, Fast Food

₹400 for two",-,"Pizza, Sandwich, Fast Food

₹400 for two"
Walnut Cafe & Restaurant,-,"North Indian, Chinese, Biryani, Fast Food, Street Food

₹300 for two",-,"North Indian, Chinese, Biryani, Fast Food, Street Food

₹300 for two"
The Chinese House,-,"Momos, Chinese

₹300 for two",-,"Momos, Chinese

₹300 for two"
The Chimbori Seafood Kitchen,3.8,"Seafood, North Indian, Biryani, Mughlai, Chinese, Asian

₹2,000 for two",3.8,"Seafood, North Indian, Biryani, Mughlai, Chinese, Asian

₹2,000 for two"
Costa Coffee,3.5,"Cafe, Coffee, Beverages, Bakery, Desserts

₹400 for two",3.5,"Cafe, Coffee, Beverages, Bakery, Desserts

₹400 for two"
Ajinkya Restaurant,-,"Chinese, Continental, Salad, Shake, Beverages

₹500 for two",-,"Chinese, Continental, Salad, Shake, Beverages

₹500 for two"
Hotel Gangasagar,-,"Maharashtrian

₹300 for two",-,"Maharashtrian

₹300 for two"
Fluid Lab,-,"North Indian, Asian, Italian, Mughlai, Biryani, Chinese, Seafood, Desserts

₹1,250 for two",-,"North Indian, Asian, Italian, Mughlai, Biryani, Chinese, Seafood, Desserts

₹1,250 for two"
Soul Kitchen,-,"North Indian, Mughlai, Seafood, Asian, Italian, Kebab, Biryani, Desserts

₹1,600 for two",-,"North Indian, Mughlai, Seafood, Asian, Italian, Kebab, Biryani, Desserts

₹1,600 for two"
